"District","CouncilMember","Borough","Party","Neighborhoods","Email"
"14","Pierina Ana Sanchez","Bronx","Democrat","Morris Heights, University Heights, Fordham, Kingsbridge","District14@council.nyc.gov"
"15","Oswald Feliz","Bronx","Democrat","Bedford Park, Fordham, Mount Hope, Bathgate, Belmont, East Tremont, West Farms, Van Nest, Allerton, Olinville","District15@council.nyc.gov"
"16","Althea Stevens","Bronx","Democrat","Claremont, Concourse, Concourse Village, Highbridge, Morris Heights, Mount Eden, Morrisania","District16@council.nyc.gov"
"17","Rafael Salamanca Jr.","Bronx","Democrat","Concourse Village, Crotona Park East, East Tremont, Hunts Point, Longwood, Melrose, Morrisania, Port Morris, West Farms, North Brother Island, South Brother Island","District17@council.nyc.gov"
"18","Amanda Far�as","Bronx","Democrat","Soundview, Castle Hill, Parkchester, Clason Point, Harding Park","District18@council.nyc.gov"
"19","Vickie Paladino","Queens","Republican","Auburndale, Bay Terrace, Bayside, Beechhurst, College Point, Douglaston, Flushing, Little Neck, Malba, Whitestone","District19@council.nyc.gov"
"20","Sandra Ung","Queens","Democrat","Downtown Flushing, Murray Hill, Queensboro Hill","District20@council.nyc.gov"
"21","Francisco Moya","Queens","Democrat","East Elmhurst, Elmhurst, Jackson Heights, and Corona in Queens, including Flushing Meadows Corona Park, Lefrak City and LaGuardia Airport","District21@council.nyc.gov"
"22","Tiffany Cab�n","Queens","Democrat","Astoria, East Elmhurst, Jackson Heights, Woodside","District22@council.nyc.gov"
"23","Linda Lee","Queens","Democrat","Bayside Hills, Bellerose, Douglaston, Floral Park, Fresh Meadows, Glen Oaks, Hollis, Hollis Hills, Holliswood, Little Neck, New Hyde Park, Oakland Gardens, Queens Village","District23@council.nyc.gov"
"24","James F. Gennaro","Queens","Democrat","Kew Gardens Hills, Pomonok, Electchester, Fresh Meadows, Hillcrest, Jamaica Estates, Briarwood, Parkway Village, Jamaica Hills, Jamaica","District24@council.nyc.gov"
"25","Shekar Krishnan","Queens","Democrat","Elmhurst, Jackson Heights","District25@council.nyc.gov"
"26","Julie Won","Queens","Democrat","Sunnyside, Woodside, Long Island City, Astoria, Dutch Kills","District26@council.nyc.gov"
"27","Nantasha Williams","Queens","Democrat","Cambria Heights, Hollis, Jamaica, St. Albans, Queens Village, and Springfield Gardens","District27@council.nyc.gov"
"28","Adrienne E. Adams","Queens","Democrat","Jamaica, Richmond Hill, Rochdale Village, South Ozone Park","District28@council.nyc.gov"
"29","Lynn Schulman","Queens","Democrat","Rego Park, Forest Hills, Kew Gardens, Richmond Hill","District29@council.nyc.gov"
"30","Robert F. Holden","Queens","Democrat","Glendale, Maspeth, Middle Village, Ridgewood, Woodhaven, Woodside","District30@council.nyc.gov"
"31","Selvena N. Brooks-Powers","Queens","Democrat","Arverne, Brookville, Edgemere, Far Rockaway, Laurelton, Rosedale, Springfield Gardens","District31@council.nyc.gov"
"32","Joann Ariola","Queens","Republican","Belle Harbor, Breezy Point, Broad Channel, Howard Beach, Lindenwood, Neponsit, Ozone Park, Richmond Hill, Rockaway Park, Roxbury, South Ozone Park, West Hamilton Beach, Woodhaven","District32@council.nyc.gov"
"33","Lincoln Restler","Brooklyn","Democrat","Boerum Hill, Brooklyn Heights, Brooklyn Navy Yard, Downtown Brooklyn, Dumbo, Fulton Ferry, Greenpoint, Vinegar Hill, Williamsburg","District33@council.nyc.gov"
"34","Jennifer Guti�rrez","Brooklyn, Queens","Democrat","Williamsburg, Bushwick, Ridgewood","District34@council.nyc.gov"
"35","Crystal Hudson","Brooklyn","Democrat","Fort Greene, Clinton Hill, Crown Heights, Prospect Heights, Bedford Stuyvesant","District35@council.nyc.gov"
"36","Chi Oss�","Brooklyn","Democrat","Bedford Stuyvesant, Northern Crown Heights","District36@council.nyc.gov"
"37","Sandy Nurse","Brooklyn","Democrat","Cypress Hills, Bushwick, City Line, Ocean Hill, Brownsville, East New York","District37@council.nyc.gov"
"38","Alexa Avil�s","Brooklyn","Democrat","Red Hook, Sunset Park, Greenwood Heights and portions of Windsor Terrace, Dyker Heights, and Boro Park","District38@council.nyc.gov"
"39","Shahana Hanif","Brooklyn","Democrat","Cobble Hill, Carroll Gardens, Columbia Waterfront, Gowanus, Park Slope, Windsor Terrace, Borough Park, Kensington","District39@council.nyc.gov"
"40","Rita Joseph","Brooklyn","Democrat","Crown Heights, East Flatbush, Flatbush, Kensington, Midwood, Prospect Park, and Prospect Lefferts Gardens","District40@council.nyc.gov"
"41","Darlene Mealy","Brooklyn","Democrat","Bedford-Stuyvesant, Ocean Hill-Brownsville, East Flatbush, Crown Heights","District41@council.nyc.gov"
"42","Charles Barron","Brooklyn","Democrat","East New York, New Lots, Remsen Village, Spring Creek, Starrett City","District42@council.nyc.gov"
"43","Justin Brannan","Brooklyn","Democrat","Bay Ridge, Dyker Heights, Bensonhurst, Bath Beach","District43@council.nyc.gov"
"44","Kalman Yeger","Brooklyn","Democrat","Bensonhurst, Borough Park, Midwood, Ocean Parkway","District44@council.nyc.gov"
"45","Farah N. Louis","Brooklyn","Democrat","Flatbush, East Flatbush, Midwood, Marine Park, Flatlands, Kensington","District45@council.nyc.gov"
"46","Mercedes Narcisse","Brooklyn","Democrat","Bergen Beach, Canarsie, Flatlands, Georgetown, Gerritsen Beach, Marine Park, Mill Basin, Mill Island, Sheepshead Bay","District46@council.nyc.gov"
"47","Ari Kagan","Brooklyn","Democrat","Bensonhurst, Coney Island, Gravesend, Sea Gate","District47@council.nyc.gov"
"48","Inna Vernikov","Brooklyn","Republican","Brighton Beach, Manhattan Beach, Sheepshead Bay, Homecrest, Trump Village, Luna Park, Brightwater Towers, Midwood","District48@council.nyc.gov"
"49","Kamillah Hanks","Staten Island","Democrat","Arlington, Clifton, Clove Lakes, Concord, Elm Park, Graniteville, Livingston, Mariners Harbor, New Brighton, Port Richmond, Randall Manor, Rosebank, St. George, Snug Harbor, Silver Lake, Stapleton, Sunnyside, West Brighton and Tompkinsville","District49@council.nyc.gov"
"50","David Carr","Staten Island","Republican","Arrochar, Bloomfield, Bulls Head, Castleton Corners, Chelsea, Concord, Dongan Hills, Egbertville, Emerson Hill, Fort Wadsworth, Graniteville, Grant City, Grasmere, Heartland Village, Isle of Meadows, Lighthouse Hill, Manor Heights, Meiers Corners, Midland Beach, New Dorp, New Springville, Oakwood, Ocean Breeze, Old Town, Prall's Island, Richmondtown, Rosebank, Shore Acres, South Beach, Todt Hill, Travis, Westerleigh, and Willowbrook","District50@council.nyc.gov"
"51","Joseph C. Borelli","Staten Island","Republican","Annadale, Arden Heights, Bay Terrace, Charleston, Eltingville, Great Kills, Greenridge, Heartland Village, Huguenot, New Springville, Pleasant Plains, Prince�s Bay, Richmond Valley, Rossville, Tottenville, Woodrow","District51@council.nyc.gov"
