Borough,BoroughCode,CB,bbc,Website,Email,Phone
Manhattan,1,06,106,http://cbsix.org/,info@cbsix.org,212-319-3750
Manhattan,1,07,107,http://www.nyc.gov/mcb7,MN07@cb.nyc.gov,212-362-4008
Manhattan,1,08,108,http://www.cb8m.com/,info@cb8m.com,212-758-4340
Manhattan,1,09,109,http://www.cb9m.org/,nyc-cb9m@juno.com,212-864-6200
Manhattan,1,10,110,http://www.nyc.gov/html/mancb10/html/home/home.shtml,mn10@cb.nyc.gov,212.749.3105
Manhattan,1,11,111,http://www.cb11m.org/,mn11@cb.nyc.gov,212-831-8929
Manhattan,1,12,112,https://cbmanhattan.cityofnewyork.us/cb12/,ebsmith@cb.nyc.gov,212-568-8500
Queens,4,01,401,http://www1.nyc.gov/site/queenscb1/index.page,qn01@cb.nyc.gov,718-626-1021
Queens,4,02,402,http://www.nyc.gov/html/qnscb2/html/home/home.shtml,qn02@cb.nyc.gov,718-533-8773
Queens,4,03,403,https://queenscb3.cityofnewyork.us/,communityboard3@nyc.rr.com,718-458-2707
Queens,4,04,404,http://www1.nyc.gov/site/queenscb4/index.page,QN04@cb.nyc.gov,718-760-3141
Queens,4,05,405,http://www1.nyc.gov/site/queenscb5/index.page,qn05@cb.nyc.gov,718.366.1834
Queens,4,06,406,http://www1.nyc.gov/site/queenscb6/index.page,qn06@cb.nyc.gov,718-263-9250
Queens,4,07,407,https://www1.nyc.gov/site/queenscb7/index.page,qn07@cb.nyc.gov,718-359-2800
Queens,4,08,408,http://www1.nyc.gov/site/queenscb8/index.page,qn08@cb.nyc.gov,718-264-7895
Queens,4,09,409,http://www1.nyc.gov/site/queenscb9/index.page,qn09@cb.nyc.gov,718-286-2686
Queens,4,10,410,http://www1.nyc.gov/site/queenscb10/index.page,qn10@cb.nyc.gov,718-843-4488
Queens,4,11,411,http://www1.nyc.gov/site/queenscb11/index.page,cb11q@nyc.rr.com,718-225-1054
Queens,4,12,412,http://www.nyc.gov/qcb12,qn12@cb.nyc.gov,718-658-3308
Queens,4,13,413,http://www1.nyc.gov/site/queenscb13/index.page,mmcmillan@qcb13.org,718-464-9700
Queens,4,14,414,http://www1.nyc.gov/site/queenscb14/index.page,qn14@cb.nyc.gov,718-471-7300
Staten Island,5,01,501,http://www.nyc.gov/sicb1,sicb1@si.rr.com,718-981-6900
Staten Island,5,02,502,https://www1.nyc.gov/site/statenislandcb2/index.page,dderrico@cb.nyc.gov,718-568-3581
Staten Island,5,03,503,http://www.nyc.gov/sicb3,sicb3@cb.nyc.gov,718 356-7900
