cause,description,source,URL
Genitourinary system diseases,"such as chronic kidney disease, urinary tract infections, and renal failure","Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
Musculoskeletal system and connective tissue diseases,"such as osteoarthritis, gout, and low back pain","Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
Nervous system diseases,"such as Parkinson’s disease, cerebral palsy, and headache (including migraine)","Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
Respiratory system diseases,"such as influenza, asthma, and bronchitis","Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
Skin diseases,such as pressure ulcers and contact dermatitis,"Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
Drug poisoning,"Ingestion, inhalation, absorption through the skin, or injection of so much of a drug or toxin that a harmful effect results, such as drug overdoses.","Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
"Endocrine, nutritional and metabolic diseases","such as thyroid disorders, diabetes mellitus, obesity, and cystic fibrosis.","Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
External causes of morbidity,Information on the mechanism of the injury such as fall or cut/pierce and the intent of the injury such as unintentional or self-harm.,"Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
Factors influencing health status and contact with health services,"Factors influencing health status and contact with health services such as aftercare, organ transplant status, or exposure, encounters, screening or contact with infectious disease.","Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
Fall,,,
Fire or burn,"Injury resulting from exposure to flames, heat or smoke inhalation.","Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
Firearm,,,
Foreign object,Effects of foreign body entering through natural orifice.,"Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
Heart disease,,,
Hot object or substance,"Exposure to heat, hot substances, or chemicals",,
Hypertension,,,
Infectious and parasitic diseases,"such as tuberculosis, septicemia, hepatitis, and COVID-19","Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
Influenza and pneumonia,,,
"Injury, poisoning and other consequences of external causes","such as traumatic brain injury (TBI), allergic reactions, maltreatment/abuse, and poisoning by drugs.","Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
Injury: Homicide,"Injury inflicted by another person, with the intent to cause harm.","Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
Injury: Suicide,Intentional injury resulting from self-harm.,"Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
Injury: Undetermined intent,Injury for which the intent cannot be determined.,"Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
Injury: Unintentional,"Injury that occurred without intent to cause harm, also known as ""accident"".","Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
Malignant neoplasms,Cancer,"Li W, Castro A, Gurung S, Maduro G, Sun Y, Seil K, and Van Wye G. Summary of Vital Statistics, 2022. New York, NY: Bureau of Vital Statistics, New York City Departmen tof Health and Mental Hygiene.",https://www.nyc.gov/assets/doh/downloads/pdf/vs/2022sum.pdf
"Mental, behavioral and neurodevelopmental disorders","such as depressive disorders, alcohol-related disorders, and suicide ideation/attempt/intentional self-harm.","Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
Mental/behavioral disorder due to alcohol,,,
Motor vehicle occupant,Injury to a driver or passenger of a motor vehicle ,"Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
Motor vehicle traffic,"Injury from a motor vehicle collision including injuries to a motor vehicle occupant, pedestrian, or bicyclist.","Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
Motorcyclist,Injury to a motorcyclist.,"Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
Natural or environmental,"Injury resulting from exposure to adverse natural and environmental conditions (e.g., severe heat, severe cold, lightning, tornadoes, and natural disasters), as well as lack of food or water.","Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
Neoplasms,"Malignant neoplasms such as gastrointestinal cancers, skin cancers, and breast cancer, as well as most benign neoplasms.","Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
Newborn bacterial sepsis,,,
Newborn respiratory distress,,,
Non-drug poisoning,"Ingestion, inhalation, absorption through the skin, or injection of so much of a chemical that a harmful effect results.","Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
Other classifiable mechanism,Injury associated with any other specified cause.,"Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
Other diseases of nervous system,,,
Other infective/parasitic diseases,,,
Other Mechanism,Injury associated with any other specified cause that does not fit another category.,"Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
Other natural causes,,,
Other pedestrian,Injury to a pedestrian caused by a bicycle or train.,"Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
Overexertion,"Working the body or a body part too hard, causing damage to muscle, tendon, ligament, cartilage, joint, or peripheral nerve.","Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
Pedestrian struck by motor vehicle,,,
Perinatal conditions,Conditions originating around the time of childbirth.,,
Poisoning,"Ingestion, inhalation, absorption through the skin, or injection of so much of a drug or toxin that a harmful effect results, such as drug overdoses.","Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
"Pregnancy, childbirth and the puerperium","Ectopic pregnancy and complications, early or threatened labor, diabetes or abnormal glucose tolerance complicating pregnancy, childbirth or the puerperium, and routine birth-related hospitalizations.","Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
Short gestation/low birth weight,,,
SIDS,"Sudden infant death syndrome, accidental suffocation and strangulation in bed, and other deaths from unknown causes.",,
Struck by or against,Injury resulting from being struck or crushed by anything other than a vehicle or machinery; injury caused by striking anything other than a vehicle or machinery.,"Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
Suffocation,"Injury resulting from strangulation, choking, or any other restriction of the airway.","Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
"Symptoms, signs and abnormal clinical and laboratory findings","Symptoms, signs, and abnormal clinical or laboratory findings, not elsewhere classified such as fever, nausea and vomiting, and malaise and fatigue.","Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
Unknown mechanism,Injury not classifiable in another category.,"Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
Unspecified mechanism,Injury not classifiable in another category.,"Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
Drowning,,,
Injury: Complications of care,,,
