type,InjuryRelated,agegroup,Annual_Average_Count,rate,flag,rank,rank_unique,Intent,cause_text
Death,0,25 - 34,171,12.34,,1,1,Injury,Injury: Unintentional
Death,0,25 - 34,60,4.306,,2,2,Injury,Injury: Homicide
Death,0,25 - 34,41,2.983,,3,3,Injury,Injury: Suicide
Death,0,25 - 34,37,2.694,,4,4,,Malignant neoplasms
Death,0,25 - 34,26,1.9,,5,5,,Heart disease
Death,0,25 - 34,26,1.852,,5,6,,COVID-19
Death,0,25 - 34,24,1.732,,6,7,,Other natural causes
Death,0,25 - 34,12,0.866,,7,8,Injury,Injury: Undetermined intent
Death,0,25 - 34,12,0.842,,7,9,,Other diseases of nervous system
Death,0,25 - 34,9,0.674,,8,10,,Mental/behavioral disorder due to alcohol
Death,0,35 - 44,229,19.749,,1,1,Injury,Injury: Unintentional
Death,0,35 - 44,97,8.406,,2,2,,Malignant neoplasms
Death,0,35 - 44,87,7.485,,3,3,,Heart disease
Death,0,35 - 44,71,6.103,,4,4,,COVID-19
Death,0,35 - 44,52,4.491,,5,5,,Other natural causes
Death,0,35 - 44,30,2.591,,6,6,Injury,Injury: Homicide
Death,0,35 - 44,30,2.591,,6,7,Injury,Injury: Suicide
Death,0,35 - 44,29,2.476,,7,8,,Chronic liver disease/cirrhosis
Death,0,35 - 44,24,2.102,,8,9,,Mental/behavioral disorder due to alcohol
Death,0,35 - 44,19,1.67,,9,10,Injury,Injury: Undetermined intent
Death,0,45 - 54,270,26.385,,1,1,,Malignant neoplasms
Death,0,45 - 54,254,24.758,,2,2,,Heart disease
Death,0,45 - 54,230,22.448,,3,3,Injury,Injury: Unintentional
Death,0,45 - 54,165,16.104,,4,4,,COVID-19
Death,0,45 - 54,88,8.621,,5,5,,Other natural causes
Death,0,45 - 54,44,4.327,,6,6,,Chronic liver disease/cirrhosis
Death,0,45 - 54,38,3.741,,7,7,,Diabetes
Death,0,45 - 54,35,3.416,,8,8,,Mental/behavioral disorder due to alcohol
Death,0,45 - 54,32,3.156,,9,9,Injury,Injury: Suicide
Death,0,45 - 54,30,2.895,,10,10,,Cerebrovascular disease
Death,0,55 - 64,701,67.977,,1,1,,Malignant neoplasms
Death,0,55 - 64,669,64.843,,2,2,,Heart disease
Death,0,55 - 64,411,39.836,,3,3,,COVID-19
Death,0,55 - 64,325,31.501,,4,4,Injury,Injury: Unintentional
Death,0,55 - 64,207,20.031,,5,5,,Other natural causes
Death,0,55 - 64,93,8.982,,6,6,,Diabetes
Death,0,55 - 64,80,7.786,,7,7,,Cerebrovascular disease
Death,0,55 - 64,60,5.783,,8,8,,Influenza and pneumonia
Death,0,55 - 64,59,5.686,,9,9,,Chronic lower respiratory diseases
Death,0,55 - 64,54,5.266,,10,10,,Chronic liver disease/cirrhosis
Death,0,65+,4479,320.459,,1,1,,Heart disease
Death,0,65+,2724,194.908,,2,2,,Malignant neoplasms
Death,0,65+,2065,147.755,,3,3,,COVID-19
Death,0,65+,1488,106.446,,4,4,,Other natural causes
Death,0,65+,585,41.882,,5,5,,Cerebrovascular disease
Death,0,65+,451,32.246,,6,6,,Influenza and pneumonia
Death,0,65+,415,29.67,,7,7,,Diabetes
Death,0,65+,374,26.784,,8,8,,Chronic lower respiratory diseases
Death,0,65+,370,26.474,,9,9,,Alzheimer's disease
Death,0,65+,362,25.878,,10,10,,Hypertension
